noun,translation,case,number,declension
aita,father,genitive,singular,aitaren
aitak,father,genitive,plural,aiten
aita,father,dative,singular,aitari
aitak,father,dative,plural,aitei
aita,father,locative,singular,aitan
aitak,father,locative,plural,aitetan
aita,father,ablative,singular,aitatik
aitak,father,ablative,plural,aitetatik
aita,father,allative,singular,aitara
aitak,father,allative,plural,aitetara
aita,father,instrumental,singular,aitez
aitak,father,instrumental,plural,aitez
aita,father,partitive,singular,aitarik
aitak,father,partitive,plural,aitarik

ama,mother,absolutive,singular,ama
amak,mother,absolutive,plural,amak
ama,mother,ergative,singular,amak
amak,mother,ergative,plural,amek
ama,mother,genitive,singular,amaren
amak,mother,genitive,plural,amen
ama,mother,dative,singular,amari
amak,mother,dative,plural,amei
ama,mother,locative,singular,aman
amak,mother,locative,plural,ametan
ama,mother,ablative,singular,amatik
amak,mother,ablative,plural,ametatik
ama,mother,allative,singular,amara
amak,mother,allative,plural,ametara
ama,mother,instrumental,singular,amaz
amak,mother,instrumental,plural,amez
ama,mother,partitive,singular,amarik
amak,mother,partitive,plural,amarik
haurra,child,absolutive,singular,haurra
haurra,child,ergative,singular,haurrak
haurra,child,genitive,singular,haurraren
haurra,child,dative,singular,haurrari
haurra,child,locative,singular,haurran
haurra,child,ablative,singular,haurratik
haurra,child,allative,singular,haurrara
haurra,child,instrumental,singular,haurrez
haurra,child,partitive,singular,haurrik
haurrak,child,absolutive,plural,haurrak
haurrak,child,ergative,plural,haurrek
haurrak,child,genitive,plural,haurren
haurrak,child,dative,plural,haurrei
haurrak,child,locative,plural,haurretan
haurrak,child,ablative,plural,haurretatik
haurrak,child,allative,plural,haurretara
haurrak,child,instrumental,plural,haurrez
haurrak,child,partitive,plural,haurrik

mendia,mountain,absolutive,singular,mendia
mendia,mountain,ergative,singular,mendiak
mendia,mountain,genitive,singular,mendiaren
mendia,mountain,dative,singular,mendiari
mendia,mountain,locative,singular,mendian
mendia,mountain,ablative,singular,menditik
mendia,mountain,allative,singular,mendira
mendia,mountain,instrumental,singular,mendiz
mendia,mountain,partitive,singular,mendirik
mendiak,mountain,absolutive,plural,mendiak
mendiak,mountain,ergative,plural,mendiek
mendiak,mountain,genitive,plural,mendien
mendiak,mountain,dative,plural,mendiei
mendiak,mountain,locative,plural,mendietan
mendiak,mountain,ablative,plural,mendietatik
mendiak,mountain,allative,plural,mendietara
mendiak,mountain,instrumental,plural,mendiez
mendiak,mountain,partitive,plural,mendirik

liburua,book,absolutive,singular,liburua
liburua,book,ergative,singular,liburuak
liburua,book,genitive,singular,liburuaren
liburua,book,dative,singular,liburuari
liburua,book,locative,singular,liburuan
liburua,book,ablative,singular,liburutik
liburua,book,allative,singular,liburura
liburua,book,instrumental,singular,liburuz
liburua,book,partitive,singular,libururik
liburuak,book,absolutive,plural,liburuak
liburuak,book,ergative,plural,liburuek
liburuak,book,genitive,plural,liburuen
liburuak,book,dative,plural,liburuei
liburuak,book,locative,plural,liburuetan
liburuak,book,ablative,plural,liburuetatik
liburuak,book,allative,plural,liburuetara
liburuak,book,instrumental,plural,liburuez
liburuak,book,partitive,plural,libururik

txakurra,dog,absolutive,singular,txakurra
txakurra,dog,ergative,singular,txakurrak
txakurra,dog,genitive,singular,txakurraren
txakurra,dog,dative,singular,txakurrari
txakurra,dog,locative,singular,txakurran
txakurra,dog,ablative,singular,txakurratik
txakurra,dog,allative,singular,txakurrara
txakurra,dog,instrumental,singular,txakurrez
txakurra,dog,partitive,singular,txakurrik
txakurrak,dog,absolutive,plural,txakurrak
txakurrak,dog,ergative,plural,txakurrek
txakurrak,dog,genitive,plural,txakurren
txakurrak,dog,dative,plural,txakurrei
txakurrak,dog,locative,plural,txakurretan
txakurrak,dog,ablative,plural,txakurretatik
txakurrak,dog,allative,plural,txakurretara
txakurrak,dog,instrumental,plural,txakurrez
txakurrak,dog,partitive,plural,txakurrik

katua,cat,absolutive,singular,katua
katua,cat,ergative,singular,katuak
katua,cat,genitive,singular,katuaren
katua,cat,dative,singular,katuari
katua,cat,locative,singular,katuan
katua,cat,ablative,singular,katutik
katua,cat,allative,singular,katura
katua,cat,instrumental,singular,katurez
katua,cat,partitive,singular,katurik
katuak,cat,absolutive,plural,katuak
katuak,cat,ergative,plural,katuek
katuak,cat,genitive,plural,katuen
katuak,cat,dative,plural,katuei
katuak,cat,locative,plural,katuetan
katuak,cat,ablative,plural,katuetatik
katuak,cat,allative,plural,katuetara
katuak,cat,instrumental,plural,katurez
katuak,cat,partitive,plural,katurik

eskola,school,absolutive,singular,eskola
eskola,school,ergative,singular,eskolak
eskola,school,genitive,singular,eskolaren
eskola,school,dative,singular,eskolari
eskola,school,locative,singular,eskolan
eskola,school,ablative,singular,eskolatik
eskola,school,allative,singular,eskolara
eskola,school,instrumental,singular,eskolaz
eskola,school,partitive,singular,eskolarik
eskolak,school,absolutive,plural,eskolak
eskolak,school,ergative,plural,eskolak
eskolak,school,genitive,plural,eskolen
eskolak,school,dative,plural,eskolari
eskolak,school,locative,plural,eskoletan
eskolak,school,ablative,plural,eskoletatik
eskolak,school,allative,plural,eskoletara
eskolak,school,instrumental,plural,eskolaz
eskolak,school,partitive,plural,eskolarik

irakaslea,teacher,absolutive,singular,irakaslea
irakaslea,teacher,ergative,singular,irakasleak
irakaslea,teacher,genitive,singular,irakaslearen
irakaslea,teacher,dative,singular,irakasleari
irakaslea,teacher,locative,singular,irakaslean
irakaslea,teacher,ablative,singular,irakasletik
irakaslea,teacher,allative,singular,irakaslera
irakaslea,teacher,instrumental,singular,irakaslez
irakaslea,teacher,partitive,singular,irakaslerik
irakasleak,teacher,absolutive,plural,irakasleak
irakasleak,teacher,ergative,plural,irakasleek
irakasleak,teacher,genitive,plural,irakasleen
irakasleak,teacher,dative,plural,irakasleei
irakasleak,teacher,locative,plural,irakasleetan
irakasleak,teacher,ablative,plural,irakasleetatik
irakasleak,teacher,allative,plural,irakasleetara
irakasleak,teacher,instrumental,plural,irakaslez
irakasleak,teacher,partitive,plural,irakaslerik

ikaslea,student,absolutive,singular,ikaslea
ikaslea,student,ergative,singular,ikasleak
ikaslea,student,genitive,singular,ikaslearen
ikaslea,student,dative,singular,ikasleari
ikaslea,student,locative,singular,ikaslean
ikaslea,student,ablative,singular,ikasletik
ikaslea,student,allative,singular,ikaslera
ikaslea,student,instrumental,singular,ikaslez
ikaslea,student,partitive,singular,ikaslerik
ikasleak,student,absolutive,plural,ikasleak
ikasleak,student,ergative,plural,ikasleek
ikasleak,student,genitive,plural,ikasleen
ikasleak,student,dative,plural,ikasleei
ikasleak,student,locative,plural,ikasleetan
ikasleak,student,ablative,plural,ikasleetatik
ikasleak,student,allative,plural,ikasleetara
ikasleak,student,instrumental,plural,ikaslez
ikasleak,student,partitive,plural,ikaslerik
